AS, 1, Ins, Table1A, 100, 1, True, 1.0763287544250488, 0.9607076644897461, 0.4546006269940146, 2020-03-31_225032
AS, 1, Ins, Table1B, 100, 1, True, 2.159445285797119, 1.9103288650512695, 0.7521072781931176, 2020-03-31_225032
AS, 1, Ins, Table1A, 100, 1, False, 1.0587072372436523, 0.9663105010986328, 0.44181579743316707, 2020-03-31_225033
AS, 1, Ins, Table1B, 100, 1, False, 1.0570168495178223, 0.9629726409912109, 0.49350897739728733, 2020-03-31_225033
AS, 1, Upd, Table1A, 100, 1, False, 1.0499882698059082, 0.9506940841674805, 0.3802149726892085, 2020-03-31_225033
AS, 1, Upd, Table1B, 100, 1, False, 1.0741114616394043, 0.9824037551879883, 0.44966873103687854, 2020-03-31_225033
AS, 1, Upd, Table1A, 100, 1, True, 0.9818816184997559, 0.9595155715942383, 0.1362251758641783, 2020-03-31_225034
AS, 1, Upd, Table1B, 100, 1, True, 1.020045280456543, 0.9615421295166016, 0.3114460131270942, 2020-03-31_225034
AS, 1, Del, Table1A, 100, 1, True, 0.9646701812744141, 0.9559392929077148, 0.05540853054362089, 2020-03-31_225034
AS, 1, Del, Table1B, 100, 1, True, 3.1156301498413086, 2.9839277267456055, 0.868733329281574, 2020-03-31_225034
AS, 1, Del, Table1A, 100, 1, False, 0.9612512588500977, 0.9503364562988281, 0.06406430147097156, 2020-03-31_225035
AS, 1, Del, Table1B, 100, 1, False, 0.9596157073974609, 0.950932502746582, 0.06222242689675729, 2020-03-31_225035
AS, 1, Ins, Table1A, 100, 5, True, 1.0193610191345215, 0.9462833404541016, 0.43841830659824593, 2020-03-31_225036
AS, 1, Ins, Table1B, 100, 5, True, 2.690136432647705, 2.562880516052246, 0.9542194800944718, 2020-03-31_225036
AS, 1, Ins, Table1A, 100, 5, False, 1.034073829650879, 1.016378402709961, 0.14029203578144794, 2020-03-31_225036
AS, 1, Ins, Table1B, 100, 5, False, 1.027059555053711, 1.0058879852294922, 0.12343144821649087, 2020-03-31_225036
AS, 1, Upd, Table1A, 100, 5, False, 1.0512447357177734, 1.0094642639160156, 0.19754920257766825, 2020-03-31_225036
AS, 1, Upd, Table1B, 100, 5, False, 1.0954833030700684, 1.0188817977905273, 0.2982854138618534, 2020-03-31_225036
AS, 1, Upd, Table1A, 100, 5, True, 1.0660171508789062, 0.9992122650146484, 0.5661257686557981, 2020-03-31_225037
AS, 1, Upd, Table1B, 100, 5, True, 1.2880802154541016, 1.0275840759277344, 1.0778357580412286, 2020-03-31_225037
AS, 1, Del, Table1A, 100, 5, True, 1.0126924514770508, 1.0154247283935547, 0.05617730056608925, 2020-03-31_225038
AS, 1, Del, Table1B, 100, 5, True, 3.289346694946289, 3.2416582107543945, 0.2182080881139216, 2020-03-31_225038
AS, 1, Del, Table1A, 100, 5, False, 0.9818410873413086, 0.9768009185791016, 0.0634680352596956, 2020-03-31_225038
AS, 1, Del, Table1B, 100, 5, False, 0.98052978515625, 0.9737014770507812, 0.054242507367332424, 2020-03-31_225038
AS, 1, Ins, Table1A, 100, 10, True, 1.1607766151428223, 0.9957551956176758, 0.8312036560630734, 2020-03-31_225039
AS, 1, Ins, Table1B, 100, 10, True, 2.834134101867676, 2.6934146881103516, 0.8061159620982913, 2020-03-31_225039
AS, 1, Ins, Table1A, 100, 10, False, 1.016542911529541, 0.9771585464477539, 0.17928372170024684, 2020-03-31_225039
AS, 1, Ins, Table1B, 100, 10, False, 1.0314631462097168, 0.9802579879760742, 0.2800760438998881, 2020-03-31_225039
AS, 1, Upd, Table1A, 100, 10, False, 1.1297369003295898, 1.014113426208496, 0.5274364671461209, 2020-03-31_225040
AS, 1, Upd, Table1B, 100, 10, False, 1.01060152053833, 0.9816884994506836, 0.1699754069717111, 2020-03-31_225040
AS, 1, Upd, Table1A, 100, 10, True, 1.08506441116333, 1.0042190551757812, 0.6883544009454646, 2020-03-31_225040
AS, 1, Upd, Table1B, 100, 10, True, 1.1150264739990234, 1.0617971420288086, 0.23190734600033877, 2020-03-31_225040
AS, 1, Del, Table1A, 100, 10, True, 1.0219812393188477, 1.000046730041504, 0.14481366360106004, 2020-03-31_225041
AS, 1, Del, Table1B, 100, 10, True, 3.316922187805176, 3.2224655151367188, 0.32326935370190585, 2020-03-31_225041
AS, 1, Del, Table1A, 100, 10, False, 1.1573362350463867, 0.9810924530029297, 0.8750702231708188, 2020-03-31_225042
AS, 1, Del, Table1B, 100, 10, False, 0.9971904754638672, 0.9722709655761719, 0.09419273953813453, 2020-03-31_225042
SQL, 1, Ins, Table1A, 100, 1, True, 3.6237144470214844, 3.644585609436035, 0.1729179974728219, 2020-03-31_225043
SQL, 1, Ins, Table1B, 100, 1, True, 3.6835813522338867, 3.6917924880981445, 0.26880803761248623, 2020-03-31_225043
SQL, 1, Upd, Table1A, 100, 1, True, 3.8179779052734375, 3.74603271484375, 0.4250293862662698, 2020-03-31_225043
